name,slug,value,date_of_information,ranking,region
"Eswatini","eswatini","26.8","2020 est.","1","Africa"
"Lesotho","lesotho","21.1","2020 est.","2","Africa"
"Botswana","botswana","19.9","2020 est.","3","Africa"
"South Africa","south-africa","19.1","2020 est.","4","Africa"
"Zimbabwe","zimbabwe","11.9","2020 est.","5","Africa"
"Namibia","namibia","11.6","2020 est.","6","Africa"
"Mozambique","mozambique","11.5","2020 est.","7","Africa"
"Zambia","zambia","11.1","2020 est.","8","Africa"
"Malawi","malawi","8.1","2020 est.","9","Africa"
"Equatorial Guinea","equatorial-guinea","7.3","2020 est.","10","Africa"
"Uganda","uganda","5.4","2020 est.","11","Africa"
"Tanzania","tanzania","4.7","2020 est.","12","Africa"
"Kenya","kenya","4.2","2020 est.","13","Africa"
"Congo, Republic of the","congo-republic-of-the","3.3","2020 est.","14","Africa"
"Cameroon","cameroon","3.0","2020 est.","15","Africa"
"Gabon","gabon","3.0","2020 est.","16","Africa"
"Guinea-Bissau","guinea-bissau","3.0","2020 est.","17","Africa"
"Central African Republic","central-african-republic","2.9","2020 est.","18","Africa"
"Rwanda","rwanda","2.5","2020 est.","19","Africa"
"South Sudan","south-sudan","2.3","2020 est.","20","Africa"
"Cote d'Ivoire","cote-divoire","2.1","2020 est.","21","Africa"
"Togo","togo","2.0","2020 est.","22","Africa"
"Haiti","haiti","1.9","2020 est.","23","Central America and the Caribbean"
"Angola","angola","1.8","2020 est.","24","Africa"
"Gambia, The","gambia-the","1.8","2020 est.","25","Africa"
"Ghana","ghana","1.7","2020 est.","26","Africa"
"Mauritius","mauritius","1.7","2020 est.","27","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.5","2018 est.","28","Central America and the Caribbean"
"Sierra Leone","sierra-leone","1.5","2020 est.","29","Africa"
"Guinea","guinea","1.4","2020 est.","30","Africa"
"Jamaica","jamaica","1.4","2020 est.","31","Central America and the Caribbean"
"Guyana","guyana","1.3","2020 est.","32","South America"
"Nigeria","nigeria","1.3","2020 est.","33","Africa"
"Bahamas, The","bahamas-the","1.2","2020 est.","34","Central America and the Caribbean"
"Belize","belize","1.2","2020 est.","35","Central America and the Caribbean"
"Russia","russia","1.2","2017 est.","36","Central Asia"
"Antigua and Barbuda","antigua-and-barbuda","1.1","2018 est.","37","Central America and the Caribbean"
"Barbados","barbados","1.1","2019 est.","38","Central America and the Caribbean"
"Chad","chad","1.1","2020 est.","39","Africa"
"Liberia","liberia","1.1","2020 est.","40","Africa"
"Suriname","suriname","1.1","2020 est.","41","South America"
"Burundi","burundi","1.0","2020 est.","42","Africa"
"Panama","panama","1.0","2020 est.","43","Central America and the Caribbean"
"Thailand","thailand","1.0","2020 est.","44","East and Southeast Asia"
"Ukraine","ukraine","1.0","2020 est.","45","Europe"
"Benin","benin","0.9","2020 est.","46","Africa"
"Dominican Republic","dominican-republic","0.9","2020 est.","47","Central America and the Caribbean"
"Ethiopia","ethiopia","0.9","2020 est.","48","Africa"
"Mali","mali","0.9","2020 est.","49","Africa"
"Papua New Guinea","papua-new-guinea","0.9","2020 est.","50","East and Southeast Asia"
"Djibouti","djibouti","0.8","2020 est.","51","Africa"
"Estonia","estonia","0.8","2020 est.","52","Europe"
"Moldova","moldova","0.8","2020 est.","53","Europe"
"Burkina Faso","burkina-faso","0.7","2020 est.","54","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.7","2020 est.","55","Africa"
"Trinidad and Tobago","trinidad-and-tobago","0.7","2020 est.","56","Central America and the Caribbean"
"Brazil","brazil","0.6","2020 est.","57","South America"
"Burma","burma","0.6","2019 est.","58","East and Southeast Asia"
"Chile","chile","0.6","2020 est.","59","South America"
"Dominica","dominica","0.6","2018 est.","60","Central America and the Caribbean"
"Saint Lucia","saint-lucia","0.6","2018 est.","61","Central America and the Caribbean"
"Belarus","belarus","0.5","2020 est.","62","Europe"
"Cabo Verde","cabo-verde","0.5","2020 est.","63","Africa"
"Cambodia","cambodia","0.5","2020 est.","64","East and Southeast Asia"
"El Salvador","el-salvador","0.5","2020 est.","65","Central America and the Caribbean"
"Eritrea","eritrea","0.5","2020 est.","66","Africa"
"Grenada","grenada","0.5","2018 est.","67","Central America and the Caribbean"
"Portugal","portugal","0.5","2020 est.","68","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.5","2018 est.","69","Central America and the Caribbean"
"Venezuela","venezuela","0.5","2020 est.","70","South America"
"Argentina","argentina","0.4","2020 est.","71","South America"
"Colombia","colombia","0.4","2020 est.","72","South America"
"Costa Rica","costa-rica","0.4","2020 est.","73","Central America and the Caribbean"
"Cuba","cuba","0.4","2020 est.","74","Central America and the Caribbean"
"Indonesia","indonesia","0.4","2020 est.","75","East and Southeast Asia"
"Malaysia","malaysia","0.4","2020 est.","76","East and Southeast Asia"
"Mexico","mexico","0.4","2020 est.","77","North America"
"Spain","spain","0.4","2020 est.","78","Europe"
"Uruguay","uruguay","0.4","2020 est.","79","South America"
"Ecuador","ecuador","0.3","2020 est.","80","South America"
"France","france","0.3","2019 est.","81","Europe"
"Georgia","georgia","0.3","2020 est.","82","Middle East"
"Kazakhstan","kazakhstan","0.3","2020 est.","83","Central Asia"
"Laos","laos","0.3","2020 est.","84","East and Southeast Asia"
"Latvia","latvia","0.3","2019 est.","85","Europe"
"Luxembourg","luxembourg","0.3","2018 est.","86","Europe"
"Madagascar","madagascar","0.3","2020 est.","87","Africa"
"Mauritania","mauritania","0.3","2020 est.","88","Africa"
"Paraguay","paraguay","0.3","2020 est.","89","South America"
"Peru","peru","0.3","2020 est.","90","South America"
"Sao Tome and Principe","sao-tome-and-principe","0.3","2020 est.","91","Africa"
"Senegal","senegal","0.3","2020 est.","92","Africa"
"Vietnam","vietnam","0.3","2020 est.","93","East and Southeast Asia"
"Armenia","armenia","0.2","2020 est.","94","Middle East"
"Bhutan","bhutan","0.2","2020 est.","95","South Asia"
"Bolivia","bolivia","0.2","2020 est.","96","South America"
"Fiji","fiji","0.2","2020 est.","97","Australia and Oceania"
"Greece","greece","0.2","2020 est.","98","Europe"
"Guatemala","guatemala","0.2","2020 est.","99","Central America and the Caribbean"
"Honduras","honduras","0.2","2020 est.","100","Central America and the Caribbean"
"India","india","0.2","2017 est.","101","South Asia"
"Ireland","ireland","0.2","2020 est.","102","Europe"
"Israel","israel","0.2","2018 est.","103","Middle East"
"Italy","italy","0.2","2020 est.","104","Europe"
"Kyrgyzstan","kyrgyzstan","0.2","2020 est.","105","Central Asia"
"Netherlands","netherlands","0.2","2020 est.","106","Europe"
"Nicaragua","nicaragua","0.2","2020 est.","107","Central America and the Caribbean"
"Niger","niger","0.2","2020 est.","108","Africa"
"Pakistan","pakistan","0.2","2020 est.","109","South Asia"
"Philippines","philippines","0.2","2020 est.","110","East and Southeast Asia"
"Singapore","singapore","0.2","2020 est.","111","East and Southeast Asia"
"Sudan","sudan","0.2","2020 est.","112","Africa"
"Sweden","sweden","0.2","2016 est.","113","Europe"
"Switzerland","switzerland","0.2","2020 est.","114","Europe"
"Tajikistan","tajikistan","0.2","2020 est.","115","Central Asia"
"Timor-Leste","timor-leste","0.2","2020 est.","116","East and Southeast Asia"
"Uzbekistan","uzbekistan","0.2","2020 est.","117","Central Asia"
"Australia","australia","0.1","2020 est.","118","Australia and Oceania"
"Austria","austria","0.1","2017 est.","119","Europe"
"Azerbaijan","azerbaijan","0.1","2020 est.","120","Middle East"
"Cyprus","cyprus","0.1","2017 est.","121","Europe"
"Denmark","denmark","0.1","2020 est.","122","Europe"
"Finland","finland","0.1","2018 est.","123","Europe"
"Germany","germany","0.1","2020 est.","124","Europe"
"Iceland","iceland","0.1","2020","125","Europe"
"Libya","libya","0.1","2020 est.","126","Africa"
"Lithuania","lithuania","0.1","2019 est.","127","Europe"
"Malta","malta","0.1","2016 est.","128","Europe"
"Nepal","nepal","0.1","2020 est.","129","South Asia"
"Norway","norway","0.1","2018 est.","130","Europe"
"Oman","oman","0.1","2019","131","Middle East"
"Romania","romania","0.1","2020 est.","132","Europe"
"United Arab Emirates","united-arab-emirates","0.1","2020","133","Middle East"
