name,slug,value,date_of_information,ranking,region
"United States","united-states","$2,808,960,000,000","2020 est.","1","North America"
"China","china","$2,362,690,000,000","2020 est.","2","East and Southeast Asia"
"Germany","germany","$1,452,560,000,000","2020 est.","3","Europe"
"France","france","$803,660,000,000","2020 est.","4","Europe"
"Japan","japan","$799,520,000,000","2020 est.","5","East and Southeast Asia"
"United Kingdom","united-kingdom","$752,770,000,000","2020 est.","6","Europe"
"Netherlands","netherlands","$622,660,000,000","2020 est.","7","Europe"
"Hong Kong","hong-kong","$609,130,000,000","2020 est.","8","East and Southeast Asia"
"Korea, South","korea-south","$540,960,000,000","2020 est.","9","East and Southeast Asia"
"Canada","canada","$510,290,000,000","2020 est.","10","North America"
"India","india","$493,180,000,000","2020 est.","11","South Asia"
"Singapore","singapore","$490,680,000,000","2020 est.","12","East and Southeast Asia"
"Italy","italy","$486,350,000,000","2020 est.","13","Europe"
"Ireland","ireland","$452,980,000,000","2019 est.","14","Europe"
"Belgium","belgium","$412,850,000,000","2020 est.","15","Europe"
"Mexico","mexico","$410,660,000,000","2020 est.","16","North America"
"Switzerland","switzerland","$401,910,000,000","2020 est.","17","Europe"
"Spain","spain","$373,670,000,000","2020 est.","18","Europe"
"Taiwan","taiwan","$308,744,000,000","2019 est.","19","East and Southeast Asia"
"Russia","russia","$304,680,000,000","2020 est.","20","Central Asia"
"Poland","poland","$292,440,000,000","2020 est.","21","Europe"
"Vietnam","vietnam","$261,680,000,000","2019 est.","22","East and Southeast Asia"
"Australia","australia","$249,070,000,000","2020 est.","23","Australia and Oceania"
"Thailand","thailand","$233,750,000,000","2020 est.","24","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$229,200,000,000","2017 est.","26","Middle East"
"Brazil","brazil","$227,440,000,000","2020 est.","27","South America"
"Sweden","sweden","$217,680,000,000","2020 est.","28","Europe"
"Austria","austria","$211,850,000,000","2020 est.","29","Europe"
"Malaysia","malaysia","$185,590,000,000","2020 est.","30","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$179,800,000,000","2020 est.","31","Middle East"
"Denmark","denmark","$170,330,000,000","2020 est.","32","Europe"
"Indonesia","indonesia","$159,640,000,000","2020 est.","33","East and Southeast Asia"
"Czechia","czechia","$157,950,000,000","2020 est.","34","Europe"
"Hungary","hungary","$120,250,000,000","2020 est.","35","Europe"
"Norway","norway","$119,080,000,000","2020 est.","36","Europe"
"Luxembourg","luxembourg","$110,100,000,000","2020 est.","37","Europe"
"Finland","finland","$107,390,000,000","2019 est.","38","Europe"
"Romania","romania","$104,160,000,000","2020 est.","39","Europe"
"Philippines","philippines","$97,580,000,000","2020 est.","40","East and Southeast Asia"
"Israel","israel","$96,530,000,000","2020 est.","41","Middle East"
"Somalia","somalia","$94,430,000,000","2018 est.","42","Africa"
"Portugal","portugal","$89,310,000,000","2020 est.","43","Europe"
"Slovakia","slovakia","$87,950,000,000","2020 est.","44","Europe"
"South Africa","south-africa","$77,860,000,000","2020 est.","45","Africa"
"Iran","iran","$76,390,000,000","2017 est.","46","Middle East"
"Egypt","egypt","$72,480,000,000","2020 est.","47","Africa"
"Nigeria","nigeria","$72,180,000,000","2020 est.","48","Africa"
"Greece","greece","$71,760,000,000","2020 est.","49","Europe"
"Chile","chile","$66,430,000,000","2020 est.","50","South America"
"Ukraine","ukraine","$62,460,000,000","2020 est.","51","Europe"
"Kuwait","kuwait","$59,650,000,000","2019 est.","52","Middle East"
"Qatar","qatar","$59,060,000,000","2020 est.","53","Middle East"
"Bangladesh","bangladesh","$57,260,000,000","2020 est.","54","South Asia"
"Iraq","iraq","$54,720,000,000","2020 est.","55","Middle East"
"Algeria","algeria","$54,260,000,000","2019 est.","56","Africa"
"Argentina","argentina","$52,140,000,000","2020 est.","57","South America"
"Colombia","colombia","$51,560,000,000","2020 est.","58","South America"
"Peru","peru","$51,380,000,000","2019 est.","59","South America"
"Pakistan","pakistan","$51,070,000,000","2020 est.","60","South Asia"
"Puerto Rico","puerto-rico","$49,010,000,000","2017 est.","61","Central America and the Caribbean"
"New Zealand","new-zealand","$47,860,000,000","2020 est.","62","Australia and Oceania"
"Morocco","morocco","$46,260,000,000","2020 est.","63","Africa"
"Kazakhstan","kazakhstan","$44,300,000,000","2020 est.","64","Central Asia"
"Bulgaria","bulgaria","$38,070,000,000","2020 est.","65","Europe"
"Slovenia","slovenia","$36,600,000,000","2020 est.","66","Europe"
"Lithuania","lithuania","$36,060,000,000","2020 est.","67","Europe"
"Belarus","belarus","$35,160,000,000","2020 est.","68","Europe"
"Oman","oman","$32,550,000,000","2019 est.","69","Middle East"
