name,slug,value,date_of_information,ranking,region
"United States","united-states","293,564.2","2014","1","North America"
"China","china","150,000.0","2021","2","East and Southeast Asia"
"Russia","russia","87,157.0","2014","3","Central Asia"
"India","india","65,554.0","2014","4","South Asia"
"Canada","canada","49,422.0","2021","5","North America"
"Argentina","argentina","36,917.4","2014","6","South America"
"Germany","germany","33,590.0","2017","7","Europe"
"Australia","australia","33,011.0","2015","8","Australia and Oceania"
"Brazil","brazil","29,849.9","2014","9","South America"
"France","france","29,640.0","2014","10","Europe"
"Japan","japan","27,311.0","2015","11","East and Southeast Asia"
"Mexico","mexico","23,389.0","2017","12","North America"
"Ukraine","ukraine","21,733.0","2014","13","Europe"
"South Africa","south-africa","20,986.0","2014","14","Africa"
"Poland","poland","19,231.0","2016","15","Europe"
"Italy","italy","18,892.4","2014","16","Europe"
"United Kingdom","united-kingdom","16,837.0","2015","17","Europe"
"Kazakhstan","kazakhstan","16,636.0","2020","18","Central Asia"
"Spain","spain","15,111.0","2017","19","Europe"
"Sweden","sweden","14,127.0","2016","20","Europe"
"Pakistan","pakistan","11,881.0","2021","21","South Asia"
"Romania","romania","11,268.0","2014","23","Europe"
"Czechia","czechia","9,408.0","2017","24","Europe"
"Iran","iran","8,483.5","2014","25","Middle East"
"Cuba","cuba","8,367.0","2017","26","Central America and the Caribbean"
"Indonesia","indonesia","8,159.0","2014","27","East and Southeast Asia"
"Hungary","hungary","8,049.0","2014","28","Europe"
"Korea, North","korea-north","7,435.0","2014","29","East and Southeast Asia"
"Chile","chile","7,281.5","2014","30","South America"
"Sudan","sudan","7,251.0","2014","31","Africa"
"Finland","finland","5,926.0","2016","32","Europe"
"Belarus","belarus","5,528.0","2014","33","Europe"
"Switzerland","switzerland","5,466.0","2015","34","Europe"
"Saudi Arabia","saudi-arabia","5,410.0","2016","35","Middle East"
"Austria","austria","5,300.0","2018","36","Europe"
"Bulgaria","bulgaria","5,114.0","2014","37","Europe"
"Turkmenistan","turkmenistan","5,113.0","2017","38","Central Asia"
"Egypt","egypt","5,085.0","2014","39","Africa"
"Burma","burma","5,031.0","2008","40","East and Southeast Asia"
"Mozambique","mozambique","4,787.0","2014","41","Africa"
"Uzbekistan","uzbekistan","4,642.0","2018","42","Central Asia"
"Ireland","ireland","4,301.0","2018","43","Europe"
"Norway","norway","4,200.0","2019","44","Europe"
"New Zealand","new-zealand","4,128.0","2018","45","Australia and Oceania"
"Thailand","thailand","4,127.0","2017","46","East and Southeast Asia"
"Tanzania","tanzania","4,097.0","2022","47","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4,007.0","2014","48","Africa"
"Korea, South","korea-south","3,979.0","2016","49","East and Southeast Asia"
"Algeria","algeria","3,973.0","2014","50","Africa"
"Bolivia","bolivia","3,960.0","2019","51","South America"
"Kenya","kenya","3,819.0","2018","52","Africa"
"Serbia","serbia","3,809.0","2015","53","Europe"
"Nigeria","nigeria","3,798.0","2014","54","Africa"
"Belgium","belgium","3,592.0","2014","55","Europe"
"Slovakia","slovakia","3,580.0","2016","56","Europe"
"Denmark","denmark","3,476.0","2017","57","Europe"
"Zimbabwe","zimbabwe","3,427.0","2014","58","Africa"
"Zambia","zambia","3,126.0","2014","59","Africa"
"Portugal","portugal","3,075.1","2014","60","Europe"
"Netherlands","netherlands","3,058.0","2016","61","Europe"
"Azerbaijan","azerbaijan","2,944.3","2017","62","Middle East"
"Angola","angola","2,852.0","2014","63","Africa"
"Croatia","croatia","2,722.0","2014","64","Europe"
"Namibia","namibia","2,628.0","2014","65","Africa"
"Vietnam","vietnam","2,600.0","2014","66","East and Southeast Asia"
"Greece","greece","2,548.0","2014","67","Europe"
"Bangladesh","bangladesh","2,460.0","2014","68","South Asia"
"Iraq","iraq","2,272.0","2014","69","Middle East"
"Tunisia","tunisia","2,173.0","2014","70","Africa"
"Estonia","estonia","2,146.0","2016","71","Europe"
"Colombia","colombia","2,141.0","2019","72","South America"
"Morocco","morocco","2,067.0","2014","73","Africa"
"Syria","syria","2,052.0","2014","74","Middle East"
"Latvia","latvia","1,860.0","2018","75","Europe"
"Peru","peru","1,854.4","2017","76","South America"
"Malaysia","malaysia","1,851.0","2014","77","East and Southeast Asia"
"Mongolia","mongolia","1,815.0","2017","78","East and Southeast Asia"
"Lithuania","lithuania","1,768.0","2014","79","Europe"
"Uruguay","uruguay","1,673.0","2016","80","South America"
"Taiwan","taiwan","1,613.1","2018","81","East and Southeast Asia"
"Sri Lanka","sri-lanka","1,562.0","2016","82","South Asia"
"Israel","israel","1,384.0","2019","83","Middle East"
"Georgia","georgia","1,363.0","2014","84","Middle East"
"Uganda","uganda","1,244.0","2014","85","Africa"
"Slovenia","slovenia","1,229.0","2014","86","Europe"
"Moldova","moldova","1,171.0","2014","87","Europe"
"Guinea","guinea","1,086.0","2017","88","Africa"
"Cameroon","cameroon","987.0","2014","89","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","965.0","2014","90","Europe"
"Ecuador","ecuador","965.0","2022","91","South America"
"Ghana","ghana","947.0","2022","92","Africa"
"North Macedonia","north-macedonia","925.0","2017","93","Europe"
"Senegal","senegal","906.0","2017","94","Africa"
"Botswana","botswana","888.0","2014","95","Africa"
"Madagascar","madagascar","836.0","2018","96","Africa"
"Guatemala","guatemala","800.0","2018","97","Central America and the Caribbean"
"Armenia","armenia","780.0","2014","98","Middle East"
"Malawi","malawi","767.0","2014","99","Africa"
"Mauritania","mauritania","728.0","2014","100","Africa"
"Honduras","honduras","699.0","2014","101","Central America and the Caribbean"
"Tajikistan","tajikistan","680.0","2014","102","Central Asia"
"Albania","albania","677.0","2015","103","Europe"
"Cote d'Ivoire","cote-divoire","660.0","2008","104","Africa"
"Ethiopia","ethiopia","659.0","2017","105","Africa"
"Gabon","gabon","649.0","2014","106","Africa"
"Cambodia","cambodia","642.0","2014","107","East and Southeast Asia"
"Burkina Faso","burkina-faso","622.0","2014","108","Africa"
"Fiji","fiji","597.0","2008","109","Australia and Oceania"
"Mali","mali","593.0","2014","110","Africa"
"Togo","togo","568.0","2014","111","Africa"
"Congo, Republic of the","congo-republic-of-the","510.0","2014","112","Africa"
"Jordan","jordan","509.0","2020","113","Middle East"
"Dominican Republic","dominican-republic","496.0","2014","114","Central America and the Caribbean"
"Venezuela","venezuela","447.0","2014","115","South America"
"Benin","benin","438.0","2014","116","Africa"
"Liberia","liberia","429.0","2008","117","Africa"
"Kyrgyzstan","kyrgyzstan","424.0","2022","118","Central Asia"
"Lebanon","lebanon","401.0","2017","119","Middle East"
"Kosovo","kosovo","333.0","2015","120","Europe"
"Eritrea","eritrea","306.0","2018","121","Africa"
"Eswatini","eswatini","301.0","2014","122","Africa"
"Costa Rica","costa-rica","278.0","2014","123","Central America and the Caribbean"
"Luxembourg","luxembourg","275.0","2014","124","Europe"
"Montenegro","montenegro","250.0","2017","125","Europe"
"South Sudan","south-sudan","248.0","2018","126","Africa"
"Djibouti","djibouti","97.0","2017","127","Africa"
"Panama","panama","77.0","2014","128","Central America and the Caribbean"
"Philippines","philippines","77.0","2017","129","East and Southeast Asia"
"Isle of Man","isle-of-man","63.0","2008","130","Europe"
"Nepal","nepal","59.0","2018","131","South Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","50.0","2008","132","Central America and the Caribbean"
"Paraguay","paraguay","30.0","2014","133","South America"
"Christmas Island","christmas-island","18.0","2017","134","Australia and Oceania"
"El Salvador","el-salvador","12.5","2014","135","Central America and the Caribbean"
"Liechtenstein","liechtenstein","9.0","2018","136","Europe"
